sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
a55c5155a2a04c4e9d55,0,17775,128,248068,<think>,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5995956063270569,-0.3867937922477722,0.21280181407928467,0.21280181407928467,1,1,0,29,35,0.8285714285714286,3,3,0.01180320313748131,0.011937857234255514,0.9711716656076144,0.9711716376850258
a55c5155a2a04c4e9d55,1,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.34853217005729675,-0.3869515061378479,-0.03841933608055115,0.03841933608055115,1,1,0,31,33,0.9393939393939394,1,1,0.0004157510540923841,0.0004158765654093817,0.9989264962251708,0.9989264962251139
a55c5155a2a04c4e9d55,2,17775,128,248069,</think>,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,0.0,-1.1920928244535389e-07,-1.1920928244535389e-07,1.1920928244535389e-07,1,1,0,24,40,0.6,8,8,3.233483316113203e-09,4.2535489847008e-09,0.9999999999999999,0.9999999999999999
a55c5155a2a04c4e9d55,3,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.00012313561455812305,-0.00010168035078095272,2.145526377717033e-05,2.145526377717033e-05,1,1,0,28,36,0.7777777777777778,4,4,7.130115587749981e-07,7.760467007796194e-07,0.9999999998238535,0.9999999998238513
a55c5155a2a04c4e9d55,4,17775,128,13962,###,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.0569560527801514,-1.0313904285430908,0.025565624237060547,0.025565624237060547,1,1,0,29,35,0.8285714285714286,3,3,0.0017071164963017422,0.005673755843669906,0.9993232593787222,0.999278514593708
a55c5155a2a04c4e9d55,5,17775,128,68868, Explanation,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6740897297859192,-0.41671517491340637,0.2573745548725128,0.2573745548725128,1,1,0,30,34,0.8823529411764706,2,2,0.016205204203002456,0.016326327398763864,0.9780385900321511,0.9780385473941571
a55c5155a2a04c4e9d55,6,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.006967533379793167,-0.007600792683660984,-0.0006332593038678169,0.0006332593038678169,1,1,0,32,32,1.0,0,0,1.135565233373298e-05,1.135565233373298e-05,0.9999998074882835,0.9999998074882835
a55c5155a2a04c4e9d55,7,17775,128,31196, Failure,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6677089333534241,-0.5813721418380737,0.08633679151535034,0.08633679151535034,1,1,0,32,32,1.0,0,0,0.0017440230674008266,0.0017440230674008266,0.9967533415047114,0.9967533415047114
a55c5155a2a04c4e9d55,8,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.02360352873802185,-0.025850167497992516,-0.002246638759970665,0.002246638759970665,1,1,0,32,32,1.0,0,0,3.986066557758575e-05,3.986066557758575e-05,0.9999970254006876,0.9999970254006876
a55c5155a2a04c4e9d55,9,17775,128,760,The,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.23538634181022644,-0.13486474752426147,0.10052159428596497,0.10052159428596497,1,1,0,31,33,0.9393939393939394,1,1,0.006417076748160399,0.006418683736999373,0.9936028832519358,0.9936028832442789
a55c5155a2a04c4e9d55,10,17775,128,1412, error,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1537030041217804,-0.09419237077236176,0.05951063334941864,0.05951063334941864,1,1,0,30,34,0.8823529411764706,2,2,0.0037032468852041924,0.003772194045034557,0.9989934544335295,0.998993447780199
a55c5155a2a04c4e9d55,11,17775,128,1510, `,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.18713252246379852,-0.17817914485931396,0.008953377604484558,0.008953377604484558,1,1,0,32,32,1.0,0,0,0.0004274091270812174,0.0004274091270812174,0.999898741505233,0.999898741505233
a55c5155a2a04c4e9d55,12,17775,128,77517,CUDA,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0012055517872795463,-0.0012062662281095982,-7.14440830051899e-07,7.14440830051899e-07,1,1,0,30,34,0.8823529411764706,2,2,2.018191335288641e-07,7.637618419999641e-07,0.999999999993528,0.9999999999931977
a55c5155a2a04c4e9d55,13,17775,128,680, out,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.00044252615771256387,-0.0005523824947886169,-0.00010985633707605302,0.00010985633707605302,1,1,0,31,33,0.9393939393939394,1,1,3.252052419111411e-06,3.2774132779966367e-06,0.9999999954230393,0.999999995423038
a55c5155a2a04c4e9d55,14,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.3112935448589269e-05,-1.3947389561508317e-05,-8.344541129190475e-07,8.344541129190475e-07,1,1,0,31,33,0.9393939393939394,1,1,3.065467164661404e-08,3.9141184509593304e-08,0.9999999999998516,0.9999999999998515
a55c5155a2a04c4e9d55,15,17775,128,4779, memory,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.184158387943171e-05,-4.637133679352701e-05,-4.5297529140952975e-06,4.5297529140952975e-06,1,1,0,30,34,0.8823529411764706,2,2,1.280567986765323e-07,2.121145651706215e-07,0.9999999999957714,0.999999999995764
a55c5155a2a04c4e9d55,16,17775,128,1345, while,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.020640579983592033,-0.02659568376839161,-0.005955103784799576,0.005955103784799576,1,1,0,32,32,1.0,0,0,0.00019219156081381046,0.00019219156081381046,0.9999861786998985,0.9999861786998985
a55c5155a2a04c4e9d55,17,17775,128,8019, loading,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.0146166207268834e-05,-1.9788545614574105e-05,3.5762059269472957e-07,3.5762059269472957e-07,1,1,0,30,34,0.8823529411764706,2,2,4.5949783415701686e-08,7.728417580751965e-08,0.9999999999995185,0.9999999999995174
a55c5155a2a04c4e9d55,18,17775,128,50319, shard,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.291525328881107e-06,-3.4570634852570947e-06,8.344618436240125e-07,8.344618436240125e-07,1,1,0,30,34,0.8823529411764706,2,2,1.8312066543798004e-08,2.5384674356767274e-08,0.9999999999999489,0.999999999999949
a55c5155a2a04c4e9d55,19,17775,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.5748875486897305e-05,-2.539125671319198e-05,3.57618773705326e-07,3.57618773705326e-07,1,1,0,31,33,0.9393939393939394,1,1,6.246642888286582e-08,8.485791907492605e-08,0.9999999999986829,0.999999999998682
a55c5155a2a04c4e9d55,20,17775,128,16,1,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.969590397900902e-05,-4.088794958079234e-05,-1.1920456017833203e-06,1.1920456017833203e-06,1,1,0,31,33,0.9393939393939394,1,1,3.648910805377132e-08,4.410082193884808e-08,0.9999999999991623,0.9999999999991621
a55c5155a2a04c4e9d55,21,17775,128,24,9,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-8.630380034446716e-05,-7.712543447269127e-05,9.178365871775895e-06,9.178365871775895e-06,1,1,0,31,33,0.9393939393939394,1,1,3.170779091568251e-07,3.4669679450163675e-07,0.9999999999880211,0.9999999999880191
a55c5155a2a04c4e9d55,22,17775,128,63,`,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0011362532386556268,-0.0012561534531414509,-0.00011990021448582411,0.00011990021448582411,1,1,0,31,33,0.9393939393939394,1,1,4.213955631384694e-06,6.592074264499575e-06,0.9999999995876131,0.999999999575533
a55c5155a2a04c4e9d55,23,17775,128,14378, indicates,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.08969106525182724,-0.09985172003507614,-0.010160654783248901,0.010160654783248901,1,1,0,31,33,0.9393939393939394,1,1,0.00046517567797758213,0.00047453199263389906,0.9999552454976204,0.9999552452744643
a55c5155a2a04c4e9d55,24,17775,128,421, that,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2587463855743408,-0.20770226418972015,0.051044121384620667,0.051044121384620667,1,1,0,30,34,0.8823529411764706,2,2,0.001263463889498551,0.0012646398110968526,0.9982303971825387,0.9982303971803725
a55c5155a2a04c4e9d55,25,17775,128,279, the,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.039042189717292786,-0.027171509340405464,0.011870680376887321,0.011870680376887321,1,1,0,31,33,0.9393939393939394,1,1,0.0005416435470546253,0.000543672952849769,0.9999423142535474,0.9999423142441489
a55c5155a2a04c4e9d55,26,17775,128,21966, GPU,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1175689697265625,-0.13172444701194763,-0.014155477285385132,0.014155477285385132,1,1,0,31,33,0.9393939393939394,1,1,0.00036710051766496724,0.000474077293393811,0.9999703545220676,0.9999703242552354
a55c5155a2a04c4e9d55,27,17775,128,10298, ran,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.33473944664001465,-0.3087468445301056,0.025992602109909058,0.025992602109909058,1,1,0,32,32,1.0,0,0,0.0009758071748450886,0.0009758071748450886,0.9996993886665408,0.9996993886665408
a55c5155a2a04c4e9d55,28,17775,128,680, out,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.169585604860913e-05,-1.8954096958623268e-05,2.7417590899858624e-06,2.7417590899858624e-06,1,1,0,32,32,1.0,0,0,1.8456289425666154e-07,1.8456289425666154e-07,0.9999999999946719,0.9999999999946719
a55c5155a2a04c4e9d55,29,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.58813522325363e-05,-3.4927710657939315e-05,9.536415745969862e-07,9.536415745969862e-07,1,1,0,30,34,0.8823529411764706,2,2,4.2736627203257604e-08,1.1111216270624132e-07,0.9999999999998327,0.9999999999998278
a55c5155a2a04c4e9d55,30,17775,128,18588, VR,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5050037503242493,-0.4823424220085144,0.022661328315734863,0.022661328315734863,1,1,0,31,33,0.9393939393939394,1,1,0.002535839870854868,0.00271328872701063,0.9984238718684904,0.9984237132793216
a55c5155a2a04c4e9d55,31,17775,128,1354,AM,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.2927523938706145e-05,-5.5549986427649856e-05,-2.622462488943711e-06,2.622462488943711e-06,1,1,0,30,34,0.8823529411764706,2,2,2.920368146615237e-07,3.9132989978675544e-07,0.999999999990406,0.9999999999903957
a55c5155a2a04c4e9d55,32,17775,128,948, when,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.0272626876831055,-1.343436598777771,-0.3161739110946655,0.3161739110946655,1,2,1,30,34,0.8823529411764706,2,2,0.00801245670013162,0.008057424397154317,0.9704238505160215,0.9704238434238928
a55c5155a2a04c4e9d55,33,17775,128,18816, attempting,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1841047704219818,-0.1539437174797058,0.030161052942276,0.030161052942276,1,1,0,32,32,1.0,0,0,0.0008748576269139857,0.0008748576269139857,0.9994439401386758,0.9994439401386758
a55c5155a2a04c4e9d55,34,17775,128,310, to,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.790783375734463e-05,-3.838465272565372e-05,-4.7681896830908954e-07,4.7681896830908954e-07,1,1,0,31,33,0.9393939393939394,1,1,6.041698793133055e-08,1.2716713386504862e-07,0.9999999999997625,0.9999999999997532
