sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
a55c5155a2a04c4e9d55,0,17775,128,248068,<think>,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5995956063270569,-0.49651405215263367,0.10308155417442322,0.10308155417442322,1,1,0,25,39,0.6410256410256411,7,7,0.00691549077379279,0.007336198415047965,0.9841049299697237,0.984104802035874
a55c5155a2a04c4e9d55,1,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.34853217005729675,-0.3869926333427429,-0.03846046328544617,0.03846046328544617,1,1,0,29,35,0.8285714285714286,3,3,0.00041636904001256204,0.00041694224382556115,0.9989264983259688,0.9989264983255262
a55c5155a2a04c4e9d55,2,17775,128,248069,</think>,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,0.0,0.0,0.0,0.0,1,1,0,27,37,0.7297297297297297,5,5,2.8399588030214023e-10,4.857195051142444e-10,1.0,1.0
a55c5155a2a04c4e9d55,3,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.00012313561455812305,-0.00012754580529872328,-4.410190740600228e-06,4.410190740600228e-06,1,1,0,25,39,0.6410256410256411,7,7,1.3567517091995474e-07,2.9260807512266935e-07,0.9999999999912933,0.9999999999912855
a55c5155a2a04c4e9d55,4,17775,128,13962,###,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.0569560527801514,-1.0993775129318237,-0.04242146015167236,0.04242146015167236,1,1,0,30,34,0.8823529411764706,2,2,0.005919446501080856,0.009102335132888446,0.99558155887341,0.9955346956955409
a55c5155a2a04c4e9d55,5,17775,128,68868, Explanation,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6740897297859192,-0.3833361864089966,0.2907535433769226,0.2907535433769226,1,1,0,30,34,0.8823529411764706,2,2,0.02763115776408318,0.027804691313865044,0.9711039833697244,0.9711038878390541
a55c5155a2a04c4e9d55,6,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.006967533379793167,-0.014233261346817017,-0.0072657279670238495,0.0072657279670238495,1,1,0,31,33,0.9393939393939394,1,1,0.0007136517304139912,0.0007141113792572306,0.9999788740344839,0.9999788740340297
a55c5155a2a04c4e9d55,7,17775,128,31196, Failure,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6677089333534241,-0.6260794997215271,0.04162943363189697,0.04162943363189697,1,1,0,31,33,0.9393939393939394,1,1,0.0017417175487685437,0.0017571945072637953,0.9980042848301883,0.9980042836276174
a55c5155a2a04c4e9d55,8,17775,128,271,"

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.02360352873802185,-0.018513968214392662,0.0050895605236291885,0.0050895605236291885,1,1,0,29,35,0.8285714285714286,3,3,0.00016289835924677217,0.0001643601713107246,0.9999912707016533,0.9999912707000743
a55c5155a2a04c4e9d55,9,17775,128,760,The,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.23538634181022644,-0.23706209659576416,-0.0016757547855377197,0.0016757547855377197,1,1,0,30,34,0.8823529411764706,2,2,5.019926665766987e-05,5.386438777181567e-05,0.999998889448656,0.9999988894274802
a55c5155a2a04c4e9d55,10,17775,128,1412, error,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1537030041217804,-0.08761857450008392,0.06608442962169647,0.06608442962169647,1,1,0,29,35,0.8285714285714286,3,3,0.007055908162030666,0.007155017518410592,0.998242258320048,0.9982422493827263
a55c5155a2a04c4e9d55,11,17775,128,1510, `,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.18713252246379852,-0.15907905995845795,0.028053462505340576,0.028053462505340576,1,1,0,31,33,0.9393939393939394,1,1,0.0009018436534252161,0.0009028471300019253,0.9997096176946476,0.9997096176916449
a55c5155a2a04c4e9d55,12,17775,128,77517,CUDA,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0012055517872795463,-0.0015920833684504032,-0.00038653158117085695,0.00038653158117085695,1,1,0,30,34,0.8823529411764706,2,2,1.414888071232829e-05,1.523916339206963e-05,0.9999999563547033,0.999999956353041
a55c5155a2a04c4e9d55,13,17775,128,680, out,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.00044252615771256387,-0.000683074293192476,-0.00024054813547991216,0.00024054813547991216,1,1,0,28,36,0.7777777777777778,4,4,1.4625016087723975e-05,1.4747545443134082e-05,0.9999999761876175,0.9999999761876095
a55c5155a2a04c4e9d55,14,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.3112935448589269e-05,-1.0371154530730564e-05,2.741780917858705e-06,2.741780917858705e-06,1,1,0,30,34,0.8823529411764706,2,2,1.6570393651662354e-07,1.8378875843818963e-07,0.9999999999991102,0.9999999999991099
a55c5155a2a04c4e9d55,15,17775,128,4779, memory,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.184158387943171e-05,-4.136476854910143e-05,4.7681533033028245e-07,4.7681533033028245e-07,1,1,0,28,36,0.7777777777777778,4,4,1.3554990311899589e-07,3.169959398259238e-07,0.9999999999975515,0.9999999999975333
a55c5155a2a04c4e9d55,16,17775,128,1345, while,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.020640579983592033,-0.016180627048015594,0.004459952935576439,0.004459952935576439,1,1,0,31,33,0.9393939393939394,1,1,0.000153042420638745,0.0001549652567090489,0.9999916497669015,0.9999916497588511
a55c5155a2a04c4e9d55,17,17775,128,8019, loading,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.0146166207268834e-05,-2.0503786799963564e-05,-3.5762059269472957e-07,3.5762059269472957e-07,1,1,0,30,34,0.8823529411764706,2,2,1.7932976994532055e-07,2.108019839975787e-07,0.9999999999964215,0.9999999999964204
a55c5155a2a04c4e9d55,18,17775,128,50319, shard,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.291525328881107e-06,-3.2186455882765586e-06,1.0728797406045487e-06,1.0728797406045487e-06,1,1,0,29,35,0.8285714285714286,3,3,6.963128072028593e-08,8.28499510400962e-08,0.9999999999994911,0.999999999999491
a55c5155a2a04c4e9d55,19,17775,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.5748875486897305e-05,-3.313963316031732e-05,-7.390757673420012e-06,7.390757673420012e-06,1,1,0,31,33,0.9393939393939394,1,1,4.183166425868617e-07,4.5243301724951136e-07,0.9999999999939962,0.9999999999939936
a55c5155a2a04c4e9d55,20,17775,128,16,1,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.969590397900902e-05,-4.7205765440594405e-05,-7.509861461585388e-06,7.509861461585388e-06,1,1,0,31,33,0.9393939393939394,1,1,5.718190731006879e-07,5.787428228382136e-07,0.9999999999646126,0.9999999999646125
a55c5155a2a04c4e9d55,21,17775,128,24,9,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-8.630380034446716e-05,-8.844937838148326e-05,-2.1455780370160937e-06,2.1455780370160937e-06,1,1,0,31,33,0.9393939393939394,1,1,7.038736043147968e-07,7.316977822671006e-07,0.9999999999597322,0.9999999999597307
a55c5155a2a04c4e9d55,22,17775,128,63,`,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0011362532386556268,-0.0010271755745634437,0.00010907766409218311,0.00010907766409218311,1,1,0,31,33,0.9393939393939394,1,1,1.264337552553078e-05,1.4925124568808451e-05,0.9999999908618292,0.9999999908509287
a55c5155a2a04c4e9d55,23,17775,128,14378, indicates,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.08969106525182724,-0.0899285078048706,-0.00023744255304336548,0.00023744255304336548,1,1,0,31,33,0.9393939393939394,1,1,0.0006902154544527357,0.0006992648815187937,0.9999321871993628,0.9999321869956309
a55c5155a2a04c4e9d55,24,17775,128,421, that,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2587463855743408,-0.2608988881111145,-0.0021525025367736816,0.0021525025367736816,1,1,0,31,33,0.9393939393939394,1,1,8.503327518056099e-05,8.564543977675594e-05,0.9999976897756438,0.9999976897744124
a55c5155a2a04c4e9d55,25,17775,128,279, the,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.039042189717292786,-0.04424075037240982,-0.005198560655117035,0.005198560655117035,1,1,0,30,34,0.8823529411764706,2,2,9.767328417306004e-05,0.00010265236426998504,0.9999895095479874,0.9999895095187443
a55c5155a2a04c4e9d55,26,17775,128,21966, GPU,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1175689697265625,-0.18165341019630432,-0.06408444046974182,0.06408444046974182,1,1,0,31,33,0.9393939393939394,1,1,0.004308536436413408,0.004470487130221678,0.999575600585451,0.9995755145729747
a55c5155a2a04c4e9d55,27,17775,128,10298, ran,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.33473944664001465,-0.28515711426734924,0.049582332372665405,0.049582332372665405,1,1,0,31,33,0.9393939393939394,1,1,0.004612612473667298,0.00495310304499648,0.9979418298561844,0.9979413960813123
a55c5155a2a04c4e9d55,28,17775,128,680, out,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.169585604860913e-05,-2.062299427052494e-05,1.0728617780841887e-06,1.0728617780841887e-06,1,1,0,30,34,0.8823529411764706,2,2,5.314577095858624e-08,9.724929386130744e-08,0.9999999999992534,0.9999999999992514
a55c5155a2a04c4e9d55,29,17775,128,314, of,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.58813522325363e-05,-3.0874729418428615e-05,5.006622814107686e-06,5.006622814107686e-06,1,1,0,30,34,0.8823529411764706,2,2,1.893947334645748e-07,2.6471937534892174e-07,0.9999999999926305,0.9999999999926245
a55c5155a2a04c4e9d55,30,17775,128,18588, VR,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5050037503242493,-0.5593718886375427,-0.05436813831329346,0.05436813831329346,1,1,0,31,33,0.9393939393939394,1,1,0.0010326167910103044,0.0012426565982834752,0.999221064641978,0.9992208175565508
a55c5155a2a04c4e9d55,31,17775,128,1354,AM,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.2927523938706145e-05,-5.125868119648658e-05,1.6688427422195673e-06,1.6688427422195673e-06,1,1,0,28,36,0.7777777777777778,4,4,5.402916741151643e-07,7.081293732645258e-07,0.9999999999889974,0.9999999999889827
a55c5155a2a04c4e9d55,32,17775,128,948, when,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.0272626876831055,-0.975631594657898,0.05163109302520752,0.05163109302520752,1,1,0,30,34,0.8823529411764706,2,2,0.00615480754600501,0.006199155432865575,0.9827056293063637,0.9827056219303867
a55c5155a2a04c4e9d55,33,17775,128,18816, attempting,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1841047704219818,-0.11060957610607147,0.07349519431591034,0.07349519431591034,1,1,0,30,34,0.8823529411764706,2,2,0.00521132372808899,0.005223529259272771,0.9974390005148945,0.9974390002977307
a55c5155a2a04c4e9d55,34,17775,128,310, to,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-3.790783375734463e-05,-3.540453326422721e-05,2.503300493117422e-06,2.503300493117422e-06,1,1,0,30,34,0.8823529411764706,2,2,3.8965319099815377e-07,5.617899039421997e-07,0.9999999999883638,0.9999999999883302
a55c5155a2a04c4e9d55,35,17775,128,1817, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.7286074161529541,-1.35536527633667,-0.6267578601837158,0.6267578601837158,2,2,0,31,33,0.9393939393939394,1,1,0.02815690762688656,0.028212038306759675,0.907778400165977,0.9077783879152342
a55c5155a2a04c4e9d55,36,17775,128,279, the,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.37375372648239136,-0.4739518165588379,-0.10019809007644653,0.10019809007644653,1,1,0,30,34,0.8823529411764706,2,2,0.003899714587212587,0.003928432271989093,0.9943423960088789,0.9943423941568383
a55c5155a2a04c4e9d55,37,17775,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.04580782726407051,-0.04469650611281395,0.0011113211512565613,0.0011113211512565613,1,1,0,28,36,0.7777777777777778,4,4,0.0003453003078001315,0.000375677934724029,0.999988630536731,0.9999886299811639
