sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5375546813011169,-0.29426753520965576,0.24328714609146118,0.24328714609146118,1,1,0,46,82,0.5609756097560976,18,18,0.03421813170205437,0.034769045502153303,0.9907384172543091,0.9907382289486384
7a613643598c07a5fd54,1,32,128,2585, How,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6456016898155212,-0.8568918704986572,-0.211290180683136,0.211290180683136,1,1,0,56,72,0.7777777777777778,8,8,0.04378846964095906,0.046910542870796115,0.9441317216984898,0.944075716860393
7a613643598c07a5fd54,2,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018064968287944794,-0.010852246545255184,0.0072127217426896095,0.0072127217426896095,1,1,0,51,77,0.6623376623376623,13,13,0.0015897263676910626,0.0015948280411163533,0.9999781727203139,0.9999781727082955
7a613643598c07a5fd54,3,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.104668527841568,-0.12927265465259552,-0.024604126811027527,0.024604126811027527,1,1,0,40,88,0.45454545454545453,24,24,0.02846018182652653,0.03162235870405419,0.9983936333309444,0.9983880616666212
7a613643598c07a5fd54,4,32,128,1558, does,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6435485482215881,-1.424375295639038,-0.78082674741745,0.78082674741745,1,2,1,48,80,0.6,16,16,0.15307777649032148,0.15314442049035126,0.6598608830846643,0.6598608775358287
7a613643598c07a5fd54,5,32,128,432, it,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1186881959438324,-0.05914578214287758,0.05954241380095482,0.05954241380095482,1,1,0,46,82,0.5609756097560976,18,18,0.0058517951589764534,0.005856712667224541,0.99840473937782,0.9984047393688774
7a613643598c07a5fd54,6,32,128,1882, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.025326697155833244,-0.0391007736325264,-0.013774076476693153,0.013774076476693153,1,1,0,50,78,0.6410256410256411,14,14,0.0021382996844454046,0.002150715548954992,0.9998357420787687,0.999835742042011
7a613643598c07a5fd54,7,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2624191641807556,-0.904363214969635,-0.6419440507888794,0.6419440507888794,1,2,1,48,80,0.6,16,16,0.07411021186381293,0.07412537445622726,0.7714789011385144,0.7714789010597912
7a613643598c07a5fd54,8,32,128,6460, hour,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.512140154838562,-1.1819939613342285,-0.6698538064956665,0.6698538064956665,1,2,1,32,96,0.3333333333333333,32,32,0.08191839062721003,0.08271260397049893,0.7713462825048469,0.7713452215600258
7a613643598c07a5fd54,9,32,128,1939,"?

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.9660758972167969,-0.7381331920623779,0.22794270515441895,0.22794270515441895,1,1,0,48,80,0.6,16,16,0.009822157400292658,0.009971173690311525,0.9775600693542953,0.9775599807902596
7a613643598c07a5fd54,10,32,128,32313,Okay,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.4002304673194885,-0.388948917388916,0.01128154993057251,0.01128154993057251,1,1,0,42,86,0.4883720930232558,22,22,0.02138940437056144,0.057682237810666316,0.9902226994859941,0.9847887443354375
7a613643598c07a5fd54,11,32,128,11,",",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.006777428206988e-06,-5.8412379075889476e-06,-8.344604793819599e-07,8.344604793819599e-07,1,1,0,28,100,0.28,36,36,1.107575052084237e-06,1.239524552593615e-06,0.9999999999983257,0.9999999999983187
7a613643598c07a5fd54,12,32,128,1077, let,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.20180758833885193,-0.25239697098731995,-0.05058938264846802,0.05058938264846802,1,1,0,50,78,0.6410256410256411,14,14,0.0013303612037900215,0.0013328004492342233,0.998230562253424,0.998230562251391
7a613643598c07a5fd54,13,32,128,594,'s,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1426854282617569,-0.1797463446855545,-0.03706091642379761,0.03706091642379761,1,1,0,48,80,0.6,16,16,0.0009861680402573152,0.000986274918245121,0.9991073992813254,0.9991073992813223
7a613643598c07a5fd54,14,32,128,1490, see,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.03681882098317146,-0.018256718292832375,0.01856210269033909,0.01856210269033909,1,1,0,51,77,0.6623376623376623,13,13,0.001736142347852158,0.0017370913329045608,0.9998950403763691,0.9998950403761007
7a613643598c07a5fd54,15,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.008523513562977314,-0.018868951126933098,-0.010345437563955784,0.010345437563955784,1,1,0,51,77,0.6623376623376623,13,13,0.001124440095937747,0.0011244590897305415,0.9999429755226287,0.9999429755226286
7a613643598c07a5fd54,16,32,128,576, The,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.11741845309734344,-0.08143377304077148,0.03598468005657196,0.03598468005657196,1,1,0,53,75,0.7066666666666667,11,11,0.020149095598847533,0.020149183438535678,0.9954196708729499,0.9954196708729438
7a613643598c07a5fd54,17,32,128,3491, problem,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.09973109513521194,-0.06422705203294754,0.035504043102264404,0.035504043102264404,1,1,0,51,77,0.6623376623376623,13,13,0.008046650946904457,0.00804692691087938,0.9995555421475277,0.9995555421474837
7a613643598c07a5fd54,18,32,128,374, is,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.25893935561180115,-0.07916302978992462,0.17977632582187653,0.17977632582187653,1,1,0,50,78,0.6410256410256411,14,14,0.02398156186511962,0.02398163212010668,0.9806067130658047,0.9806067130658019
7a613643598c07a5fd54,19,32,128,10161, asking,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2652614116668701,-0.021555785089731216,0.2437056265771389,0.2437056265771389,1,1,0,51,77,0.6623376623376623,13,13,0.061457873804936364,0.06145899095350912,0.9878574203579791,0.9878574203555525
7a613643598c07a5fd54,20,32,128,1246, how,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0046309130266308784,-2.372236667724792e-05,0.0046071906599536305,0.0046071906599536305,1,1,0,49,79,0.620253164556962,15,15,0.0015467122227857213,0.0015467799343012374,0.9999960875346845,0.9999960875346829
7a613643598c07a5fd54,21,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.3841574147809297e-05,0.0,2.3841574147809297e-05,2.3841574147809297e-05,1,1,0,50,78,0.6410256410256411,14,14,8.188348966855147e-06,8.201925877568516e-06,0.9999999998485494,0.9999999998485493
7a613643598c07a5fd54,22,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2397689715726301e-05,-2.3841855067985307e-07,1.2159271165046448e-05,1.2159271165046448e-05,1,1,0,48,80,0.6,16,16,3.879971563236263e-06,3.968467543684342e-06,0.9999999999893666,0.9999999999893627
7a613643598c07a5fd54,23,32,128,264, a,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018419174477458,-0.038258057087659836,-0.019838882610201836,0.019838882610201836,1,1,0,55,73,0.7534246575342466,9,9,0.005024815427010125,0.005024837335174201,0.9996492685483555,0.9996492685483549
7a613643598c07a5fd54,24,32,128,2473, service,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.768360213347478e-06,0.0,4.768360213347478e-06,4.768360213347478e-06,1,1,0,51,77,0.6623376623376623,13,13,1.658533434834415e-06,1.6600933922934755e-06,0.9999999999950044,0.9999999999950044
7a613643598c07a5fd54,25,32,128,11364, processes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0015265013789758086,-0.006715467199683189,-0.005188965820707381,0.005188965820707381,1,1,0,48,80,0.6,16,16,0.0009001592388674906,0.0009001619607631065,0.9999863003362993,0.9999863003362993
7a613643598c07a5fd54,26,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.033653032034635544,-0.0031777145341038704,0.030475317500531673,0.030475317500531673,1,1,0,50,78,0.6410256410256411,14,14,0.007303323611912032,0.00730333350614072,0.9995188562567611,0.999518856256761
7a613643598c07a5fd54,27,32,128,6460, hour,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.7881377516459906e-06,0.0,1.7881377516459906e-06,1.7881377516459906e-06,1,1,0,46,82,0.5609756097560976,18,18,6.615755695112373e-07,6.639820712378161e-07,0.9999999999996054,0.9999999999996054
7a613643598c07a5fd54,28,32,128,421, if,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0013467537937685847,-0.0004583738627843559,0.0008883799309842288,0.0008883799309842288,1,1,0,50,78,0.6410256410256411,14,14,0.00011992830597559373,0.00011997956145056156,0.9999997174631412,0.9999997174631401
7a613643598c07a5fd54,29,32,128,432, it,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.61460001335945e-05,-2.9802276912960224e-06,5.3165772442298476e-05,5.3165772442298476e-05,1,1,0,48,80,0.6,16,16,1.4852172122929143e-05,1.4862875340886724e-05,0.999999999392089,0.999999999392089
7a613643598c07a5fd54,30,32,128,13469, handles,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.23649990558624268,-0.4740828573703766,-0.2375829517841339,0.2375829517841339,1,1,0,46,82,0.5609756097560976,18,18,0.035612488900854444,0.03561269338796294,0.9467514611435329,0.9467514611435153
7a613643598c07a5fd54,31,32,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.960462772236497e-07,0.0,5.960462772236497e-07,5.960462772236497e-07,1,1,0,51,77,0.6623376623376623,13,13,1.8768351455708403e-07,1.9374489215988498e-07,0.9999999999999459,0.9999999999999458
