sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5375546813011169,-0.32672926783561707,0.21082541346549988,0.21082541346549988,1,1,0,46,82,0.5609756097560976,18,18,0.031476361506677215,0.03203270599524902,0.9917271973371333,0.9917270077231874
7a613643598c07a5fd54,1,32,128,2585, How,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6456016898155212,-0.8368445634841919,-0.19124287366867065,0.19124287366867065,1,1,0,56,72,0.7777777777777778,8,8,0.04204314749781776,0.04517118648078478,0.947743584521168,0.9476873909226408
7a613643598c07a5fd54,2,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018064968287944794,-0.010861444287002087,0.007203524000942707,0.007203524000942707,1,1,0,51,77,0.6623376623376623,13,13,0.0015842024738615993,0.0015893492104169112,0.9999781732100462,0.9999781731980143
7a613643598c07a5fd54,3,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.104668527841568,-0.11157754808664322,-0.006909020245075226,0.006909020245075226,1,1,0,41,87,0.47126436781609193,23,23,0.025422450352647778,0.02847936284835481,0.9988541408262477,0.9988486166586277
7a613643598c07a5fd54,4,32,128,1558, does,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6435485482215881,-1.4410020112991333,-0.7974534630775452,0.7974534630775452,1,2,1,48,80,0.6,16,16,0.15519051245254245,0.1552571042414612,0.6560466877496972,0.6560466822098298
7a613643598c07a5fd54,5,32,128,432, it,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1186881959438324,-0.05914308503270149,0.059545110911130905,0.059545110911130905,1,1,0,47,81,0.5802469135802469,17,17,0.005853495436778324,0.005857362993394114,0.9984047391106461,0.9984047391070673
7a613643598c07a5fd54,6,32,128,1882, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.025326697155833244,-0.03912002965807915,-0.013793332502245903,0.013793332502245903,1,1,0,50,78,0.6410256410256411,14,14,0.0021386545101194834,0.0021511896513146883,0.9998357416620741,0.9998357416249801
7a613643598c07a5fd54,7,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2624191641807556,-0.9049662351608276,-0.642547070980072,0.642547070980072,1,2,1,48,80,0.6,16,16,0.07412415274360096,0.07413954013619588,0.7714784075234385,0.7714784074427063
7a613643598c07a5fd54,8,32,128,6460, hour,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.512140154838562,-1.1818304061889648,-0.6696902513504028,0.6696902513504028,1,2,1,32,96,0.3333333333333333,32,32,0.0819558486960483,0.08274713784284977,0.7713459620397601,0.7713449014182463
7a613643598c07a5fd54,9,32,128,1939,"?

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.9660758972167969,-0.738154411315918,0.2279214859008789,0.2279214859008789,1,1,0,48,80,0.6,16,16,0.009815731458141123,0.00996475448089796,0.9775600773807394,0.9775599888020569
7a613643598c07a5fd54,10,32,128,32313,Okay,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.4002304673194885,-0.38268929719924927,0.017541170120239258,0.017541170120239258,1,1,0,41,87,0.47126436781609193,23,23,0.021783944527841458,0.05825451866026155,0.9901317152338341,0.9846996297625267
7a613643598c07a5fd54,11,32,128,11,",",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.006777428206988e-06,-6.9141146923357155e-06,-1.9073372641287278e-06,1.9073372641287278e-06,1,1,0,28,100,0.28,36,36,1.2298554871835716e-06,1.383959044365732e-06,0.9999999999977366,0.9999999999977267
7a613643598c07a5fd54,12,32,128,1077, let,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.20180758833885193,-0.22593820095062256,-0.02413061261177063,0.02413061261177063,1,1,0,50,78,0.6410256410256411,14,14,0.00038759661627964877,0.00039014683120319873,0.999604720990209,0.9996047209880307
7a613643598c07a5fd54,13,32,128,594,'s,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1426854282617569,-0.16022582352161407,-0.017540395259857178,0.017540395259857178,1,1,0,48,80,0.6,16,16,0.0002373509220250809,0.00023745756815006703,0.999802273589799,0.999802273589796
7a613643598c07a5fd54,14,32,128,1490, see,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.03681882098317146,-0.018363231793045998,0.018455589190125465,0.018455589190125465,1,1,0,51,77,0.6623376623376623,13,13,0.0017200859159675849,0.001721035120245782,0.9998951508580677,0.9998951508577992
7a613643598c07a5fd54,15,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.008523513562977314,-0.016670217737555504,-0.00814670417457819,0.00814670417457819,1,1,0,52,76,0.6842105263157895,12,12,0.0007892602004426006,0.0007892777386171346,0.999963624259502,0.9999636242595019
7a613643598c07a5fd54,16,32,128,576, The,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.11741845309734344,-0.09466659277677536,0.022751860320568085,0.022751860320568085,1,1,0,53,75,0.7066666666666667,11,11,0.01914665514510209,0.01914675139934089,0.9954773878109245,0.995477387810917
7a613643598c07a5fd54,17,32,128,3491, problem,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.09973109513521194,-0.06427456438541412,0.03545653074979782,0.03545653074979782,1,1,0,50,78,0.6410256410256411,14,14,0.007963933078946293,0.007964227035259664,0.9995568653490455,0.9995568653489998
7a613643598c07a5fd54,18,32,128,374, is,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.25893935561180115,-0.0792003646492958,0.17973899096250534,0.17973899096250534,1,1,0,50,78,0.6410256410256411,14,14,0.023943755529011047,0.023943826041316806,0.9806068458173665,0.9806068458173637
7a613643598c07a5fd54,19,32,128,10161, asking,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2652614116668701,-0.0214653629809618,0.24379604868590832,0.24379604868590832,1,1,0,51,77,0.6623376623376623,13,13,0.061632370503739084,0.061633488028715815,0.987849843098303,0.9878498430958768
7a613643598c07a5fd54,20,32,128,1246, how,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0046309130266308784,-2.5629668016335927e-05,0.0046052833586145425,0.0046052833586145425,1,1,0,49,79,0.620253164556962,15,15,0.0015432009205708442,0.0015432689182147267,0.9999960897285555,0.9999960897285539
7a613643598c07a5fd54,21,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.3841574147809297e-05,0.0,2.3841574147809297e-05,2.3841574147809297e-05,1,1,0,50,78,0.6410256410256411,14,14,8.185214112826566e-06,8.198792564148102e-06,0.9999999998485517,0.9999999998485516
7a613643598c07a5fd54,22,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2397689715726301e-05,-2.3841855067985307e-07,1.2159271165046448e-05,1.2159271165046448e-05,1,1,0,48,80,0.6,16,16,3.828392470369386e-06,3.916893099709238e-06,0.999999999989416,0.9999999999894122
7a613643598c07a5fd54,23,32,128,264, a,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018419174477458,-0.02992524765431881,-0.01150607317686081,0.01150607317686081,1,1,0,55,73,0.7534246575342466,9,9,0.0035293780948344507,0.003529400061000669,0.999836604664137,0.9998366046641365
7a613643598c07a5fd54,24,32,128,2473, service,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.768360213347478e-06,0.0,4.768360213347478e-06,4.768360213347478e-06,1,1,0,52,76,0.6842105263157895,12,12,1.660841515943787e-06,1.662269331579036e-06,0.9999999999950029,0.9999999999950029
7a613643598c07a5fd54,25,32,128,11364, processes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0015265013789758086,-0.005233872216194868,-0.0037073708372190595,0.0037073708372190595,1,1,0,48,80,0.6,16,16,0.0005543092239088898,0.0005543119474987023,0.9999929909364597,0.9999929909364594
