sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.5375546813011169,-0.6153545379638672,-0.07779985666275024,0.07779985666275024,1,1,0,59,69,0.855072463768116,5,5,0.004181676008764431,0.004306140613351767,0.9969488555138099,0.9969488364308913
7a613643598c07a5fd54,1,32,128,2585, How,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6456016898155212,-0.6648488640785217,-0.01924717426300049,0.01924717426300049,1,1,0,61,67,0.9104477611940298,3,3,0.0031622908322040924,0.0036517960693759548,0.9990422981867162,0.9990416830207649
7a613643598c07a5fd54,2,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018064968287944794,-0.018728330731391907,-0.000663362443447113,0.000663362443447113,1,1,0,58,70,0.8285714285714286,6,6,7.305659274006329e-05,7.502769319417968e-05,0.999998381127199,0.9999983811256641
7a613643598c07a5fd54,3,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.104668527841568,-0.12815609574317932,-0.023487567901611328,0.023487567901611328,1,1,0,60,68,0.8823529411764706,4,4,0.0018187091637501009,0.002025035815614633,0.9999485220329354,0.9999484932972573
7a613643598c07a5fd54,4,32,128,1558, does,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.6435485482215881,-0.8461647033691406,-0.2026161551475525,0.2026161551475525,1,1,0,59,69,0.855072463768116,5,5,0.008214699637480673,0.008236158629383003,0.9863910750260878,0.986391074390914
7a613643598c07a5fd54,5,32,128,432, it,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1186881959438324,-0.1038709357380867,0.014817260205745697,0.014817260205745697,1,1,0,58,70,0.8285714285714286,6,6,0.0012214540768270168,0.0012227339998538635,0.9996365176079082,0.9996365176071594
7a613643598c07a5fd54,6,32,128,1882, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.025326697155833244,-0.04940062388777733,-0.024073926731944084,0.024073926731944084,1,1,0,58,70,0.8285714285714286,6,6,0.002256312475568373,0.0022620497374195828,0.9997312049774238,0.999731204964154
7a613643598c07a5fd54,7,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2624191641807556,-0.5173308253288269,-0.2549116611480713,0.2549116611480713,1,1,0,56,72,0.7777777777777778,8,8,0.01803548528002484,0.018042502819007693,0.9549126343687476,0.9549126343407174
7a613643598c07a5fd54,8,32,128,6460, hour,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.512140154838562,-0.48142141103744507,0.030718743801116943,0.030718743801116943,1,1,0,51,77,0.6623376623376623,13,13,0.004404141370652555,0.004536707947788113,0.9988444377227702,0.998844430712991
7a613643598c07a5fd54,9,32,128,1939,"?

",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.9660758972167969,-1.0317126512527466,-0.06563675403594971,0.06563675403594971,1,1,0,57,71,0.8028169014084507,7,7,0.0012203548020734188,0.0012506065459129915,0.9986921210361027,0.9986921201673231
7a613643598c07a5fd54,10,32,128,32313,Okay,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.4002304673194885,-0.38750356435775757,0.012726902961730957,0.012726902961730957,1,1,0,53,75,0.7066666666666667,11,11,0.005372907940171227,0.008409894597996157,0.999444597969273,0.9994407034109881
7a613643598c07a5fd54,11,32,128,11,",",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.006777428206988e-06,-4.887569048150908e-06,1.1920838005607948e-07,1.1920838005607948e-07,1,1,0,45,83,0.5421686746987951,19,19,1.6643199962832897e-07,1.70121781346167e-07,0.999999999999558,0.9999999999995579
7a613643598c07a5fd54,12,32,128,1077, let,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.20180758833885193,-0.3135864734649658,-0.11177888512611389,0.11177888512611389,1,1,0,58,70,0.8285714285714286,6,6,0.005414824052896469,0.005415335709137546,0.9911712407889806,0.9911712407888343
7a613643598c07a5fd54,13,32,128,594,'s,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1426854282617569,-0.1251063346862793,0.0175790935754776,0.0175790935754776,1,1,0,57,71,0.8028169014084507,7,7,0.0002726109761121793,0.0002726903726733152,0.99980571521741,0.9998057152174072
7a613643598c07a5fd54,14,32,128,1490, see,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.03681882098317146,-0.03235789015889168,0.004460930824279785,0.004460930824279785,1,1,0,61,67,0.9104477611940298,3,3,0.00022785780243035376,0.00022809537586972422,0.999991149798351,0.9999911497983088
7a613643598c07a5fd54,15,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.008523513562977314,-0.00430704141035676,0.004216472152620554,0.004216472152620554,1,1,0,61,67,0.9104477611940298,3,3,0.00035944414116287685,0.0003594480578577295,0.9999931158802504,0.9999931158802505
7a613643598c07a5fd54,16,32,128,576, The,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.11741845309734344,-0.08681458234786987,0.030603870749473572,0.030603870749473572,1,1,0,61,67,0.9104477611940298,3,3,0.001314483509636114,0.0013144910409994444,0.9994654410067394,0.9994654410067394
7a613643598c07a5fd54,17,32,128,3491, problem,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.09973109513521194,-0.14820969104766846,-0.04847859591245651,0.04847859591245651,1,1,0,62,66,0.9393939393939394,2,2,0.003808334075113106,0.003808392176795676,0.999126073419405,0.9991260734193997
7a613643598c07a5fd54,18,32,128,374, is,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.25893935561180115,-0.2922963798046112,-0.03335702419281006,0.03335702419281006,1,1,0,62,66,0.9393939393939394,2,2,0.0004999344779637109,0.0004999570253567852,0.9992194093896706,0.9992194093896695
7a613643598c07a5fd54,19,32,128,10161, asking,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2652614116668701,-0.18883074820041656,0.07643066346645355,0.07643066346645355,1,1,0,62,66,0.9393939393939394,2,2,0.006772681797260562,0.006772785524121834,0.9968239780504426,0.9968239780504246
7a613643598c07a5fd54,20,32,128,1246, how,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0046309130266308784,-0.002765404526144266,0.0018655085004866123,0.0018655085004866123,1,1,0,62,66,0.9393939393939394,2,2,0.00017685205878384787,0.00017686074157316899,0.9999991977614878,0.9999991977614878
7a613643598c07a5fd54,21,32,128,1657, many,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.3841574147809297e-05,-9.059865078597795e-06,1.4781709069211502e-05,1.4781709069211502e-05,1,1,0,61,67,0.9104477611940298,3,3,2.170961174911997e-06,2.1735107381071516e-06,0.9999999999259295,0.9999999999259295
7a613643598c07a5fd54,22,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2397689715726301e-05,-1.6927575416048057e-05,-4.529885700321756e-06,4.529885700321756e-06,1,1,0,60,68,0.8823529411764706,4,4,2.8521186895921473e-07,3.0065566985998033e-07,0.9999999999980352,0.999999999998035
7a613643598c07a5fd54,23,32,128,264, a,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.018419174477458,-0.03782334551215172,-0.019404171034693718,0.019404171034693718,1,1,0,61,67,0.9104477611940298,3,3,0.002455648035767814,0.0024556667406006516,0.9999245195940889,0.9999245195940883
7a613643598c07a5fd54,24,32,128,2473, service,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-4.768360213347478e-06,-1.3351351299206726e-05,-8.582991085859248e-06,8.582991085859248e-06,1,1,0,59,69,0.855072463768116,5,5,1.1962338811174945e-06,1.1977227833242122e-06,0.9999999999757099,0.9999999999757098
7a613643598c07a5fd54,25,32,128,11364, processes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0015265013789758086,-0.002943827537819743,-0.0014173261588439345,0.0014173261588439345,1,1,0,60,68,0.8823529411764706,4,4,0.00011721199918170072,0.00011721357535578238,0.9999990877243891,0.9999990877243891
7a613643598c07a5fd54,26,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.033653032034635544,-0.025904184207320213,0.0077488478273153305,0.0077488478273153305,1,1,0,62,66,0.9393939393939394,2,2,0.0002491905491085748,0.000249192260102137,0.9999682010629828,0.9999682010629828
7a613643598c07a5fd54,27,32,128,6460, hour,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.7881377516459906e-06,-1.311301275563892e-06,4.7683647608209867e-07,4.7683647608209867e-07,1,1,0,60,68,0.8823529411764706,4,4,7.604914505268462e-08,7.651244330657858e-08,0.9999999999998865,0.9999999999998865
7a613643598c07a5fd54,28,32,128,421, if,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0013467537937685847,-0.002509423065930605,-0.0011626692721620202,0.0011626692721620202,1,1,0,60,68,0.8823529411764706,4,4,9.234575853600839e-05,9.23567756324557e-05,0.9999995077794329,0.9999995077794329
7a613643598c07a5fd54,29,32,128,432, it,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.61460001335945e-05,-5.817244164063595e-05,-2.0264415070414543e-06,2.0264415070414543e-06,1,1,0,60,68,0.8823529411764706,4,4,2.6337703091571545e-07,2.657005907088382e-07,0.9999999999780752,0.9999999999780752
7a613643598c07a5fd54,30,32,128,13469, handles,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.23649990558624268,-0.2555775046348572,-0.019077599048614502,0.019077599048614502,1,1,0,60,68,0.8823529411764706,4,4,0.00043518286419223144,0.00043534715528549,0.9998815235594208,0.9998815235593917
7a613643598c07a5fd54,31,32,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-5.960462772236497e-07,-9.536738616588991e-07,-3.5762758443524945e-07,3.5762758443524945e-07,1,1,0,59,69,0.855072463768116,5,5,1.28547823017554e-08,1.6344707619295428e-08,0.9999999999999882,0.9999999999999882
7a613643598c07a5fd54,32,32,128,18,3,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-2.3841830625315197e-06,-2.622600959512056e-06,-2.3841789698053617e-07,2.3841789698053617e-07,1,1,0,53,75,0.7066666666666667,11,11,1.7502487508923474e-08,1.756137486044966e-08,0.9999999999999603,0.9999999999999603
7a613643598c07a5fd54,33,32,128,23,8,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.1920928244535389e-07,-3.576278118089249e-07,-2.38418529363571e-07,2.38418529363571e-07,1,1,0,57,71,0.8028169014084507,7,7,4.246646871132451e-08,4.2483001562417735e-08,0.9999999999999863,0.9999999999999863
7a613643598c07a5fd54,34,32,128,19,4,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,0.0,0.0,0.0,0.0,1,1,0,53,75,0.7066666666666667,11,11,6.916633364494535e-09,6.960097604249176e-09,0.9999999999999994,0.9999999999999993
7a613643598c07a5fd54,35,32,128,7388, requests,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0005552418879233301,-0.002058769576251507,-0.0015035276883281767,0.0015035276883281767,1,1,0,57,71,0.8028169014084507,7,7,0.00023003367636169445,0.00023003961483671604,0.9999988721927747,0.9999988721927746
7a613643598c07a5fd54,36,32,128,817, per,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.010378320701420307,-0.004095738288015127,0.00628258241340518,0.00628258241340518,1,1,0,60,68,0.8823529411764706,4,4,0.0007377823895891682,0.0007377828905065759,0.9999807913796465,0.9999807913796466
7a613643598c07a5fd54,37,32,128,2086, second,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.1920922133867862e-06,-2.622600959512056e-06,-1.4305087461252697e-06,1.4305087461252697e-06,1,1,0,59,69,0.855072463768116,5,5,1.6672681954069227e-07,1.6674648269686253e-07,0.9999999999994948,0.9999999999994948
7a613643598c07a5fd54,38,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.008614994585514069,-0.027124639600515366,-0.018509645015001297,0.018509645015001297,1,1,0,56,72,0.7777777777777778,8,8,0.0024968364152976813,0.0024968382210317558,0.9998225960090302,0.9998225960090302
7a613643598c07a5fd54,39,32,128,88190, Hmm,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2958332896232605,-0.17395946383476257,0.12187382578849792,0.12187382578849792,1,1,0,60,68,0.8823529411764706,4,4,0.011739590259484269,0.011739739632930603,0.9868625952729058,0.9868625952728856
7a613643598c07a5fd54,40,32,128,11,",",vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.2104565054178238,-0.19129423797130585,0.019162267446517944,0.019162267446517944,1,1,0,58,70,0.8285714285714286,6,6,0.001916832273973336,0.0019168326156477468,0.9992239482945732,0.9992239482945733
7a613643598c07a5fd54,41,32,128,1290, right,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.8758110404014587,-1.294776439666748,-0.4189653992652893,0.4189653992652893,1,2,1,61,67,0.9104477611940298,3,3,0.02364546285974928,0.02364596296890021,0.9084259803077476,0.9084259803071915
7a613643598c07a5fd54,42,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.10243643820285797,-0.199487566947937,-0.09705112874507904,0.09705112874507904,1,1,0,55,73,0.7534246575342466,9,9,0.008684472116883982,0.008684488042279082,0.9953359955284516,0.9953359955284513
7a613643598c07a5fd54,43,32,128,2055, So,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.13029494881629944,-0.09544652700424194,0.034848421812057495,0.034848421812057495,1,1,0,59,69,0.855072463768116,5,5,0.0018792002229573185,0.0018792201131992469,0.9991240650253812,0.9991240650253811
