sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.34502896666526794,-0.8312674164772034,-0.4862384498119354,0.4862384498119354,1,1,0,28,36,0.7777777777777778,4,4,0.053206667257153034,0.05512281109294469,0.9721427383459809,0.9721270260780374
7a613643598c07a5fd54,1,32,128,8886, Each,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621045708656311,-2.5817365646362305,-0.9606908559799194,0.9606908559799194,1,4,3,22,42,0.5238095238095238,10,10,0.04987915285332575,0.08267558309848819,0.8795429559451091,0.8762196258089778
7a613643598c07a5fd54,2,32,128,1681, request,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.046241242438554764,-0.08556651324033737,-0.03932527080178261,0.03932527080178261,1,1,0,22,42,0.5238095238095238,10,10,0.007409586058286408,0.012231781209512039,0.99981020241753,0.9998025951499289
7a613643598c07a5fd54,3,32,128,4990, takes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.1941745281219482,-1.5837452411651611,-0.3895707130432129,0.3895707130432129,2,1,-1,23,41,0.5609756097560976,9,9,0.07038738677228086,0.09645618496854433,0.8979383761662407,0.8944111923490583
7a613643598c07a5fd54,4,32,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.14956454932689667,-0.4084886908531189,-0.25892414152622223,0.25892414152622223,1,1,0,22,42,0.5238095238095238,10,10,0.04078486984440215,0.04508954350330609,0.9800239463084033,0.980006512923528
7a613643598c07a5fd54,5,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2780414819717407,-1.5950169563293457,-0.316975474357605,0.316975474357605,1,2,1,17,47,0.3617021276595745,15,15,0.00545032018840994,0.00551792260844972,0.9829768837150724,0.982976873273647
7a613643598c07a5fd54,6,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0004489606071729213,-0.015549726784229279,-0.015100766177056357,0.015100766177056357,1,1,0,20,44,0.45454545454545453,12,12,0.003903677325425121,0.004219133281610925,0.9999817401696183,0.9999816976010518
7a613643598c07a5fd54,7,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.7510665655136108,-0.4875544309616089,0.26351213455200195,0.26351213455200195,1,1,0,24,40,0.6,8,8,0.013202117083876457,0.013585423375399383,0.980857729502278,0.9808574429098056
7a613643598c07a5fd54,8,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.8254694938659668,-0.5528546571731567,0.27261483669281006,0.27261483669281006,1,1,0,21,43,0.4883720930232558,11,11,0.010903439033702014,0.010941008691108306,0.9839716044850937,0.9839716025350395
7a613643598c07a5fd54,9,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621624231338501,-1.075169324874878,0.546454906463623,0.546454906463623,1,1,0,26,38,0.6842105263157895,6,6,0.018702282845834098,0.018718188355599442,0.9275245315964679,0.9275245306169231
