sample_id,depth,input_token_count,output_token_count,target_token_id,target_decoded_token,worker_trace_mode,verifier_trace_mode,worker_selected_logprob,verifier_selected_logprob,logprob_diff_verifier_minus_worker,abs_logprob_diff,worker_selected_rank,verifier_selected_rank,rank_delta_verifier_minus_worker,common_top_count,union_top_count,topk_jaccard,missing_from_verifier_count,extra_in_verifier_count,common_js_divergence,union_js_divergence,common_prob_cosine,union_prob_cosine
7a613643598c07a5fd54,0,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.34502896666526794,-0.3528957962989807,-0.007866829633712769,0.007866829633712769,1,1,0,32,32,1.0,0,0,0.0002580832413697666,0.0002580832413697666,0.9999671651305767,0.9999671651305767
7a613643598c07a5fd54,1,32,128,8886, Each,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621045708656311,-1.5948714017868042,0.026174306869506836,0.026174306869506836,1,1,0,32,32,1.0,0,0,0.0005294607566470218,0.0005294607566470218,0.9984501543200662,0.9984501543200662
7a613643598c07a5fd54,2,32,128,1681, request,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.046241242438554764,-0.04231075197458267,0.003930490463972092,0.003930490463972092,1,1,0,30,34,0.8823529411764706,2,2,9.618423243671994e-05,0.0003267189218528239,0.9999996248993974,0.9999995644513548
7a613643598c07a5fd54,3,32,128,4990, takes,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.1941745281219482,-1.1945421695709229,-0.0003676414489746094,0.0003676414489746094,2,1,-1,31,33,0.9393939393939394,1,1,0.00023945174370185412,0.0007737536203998966,0.999965672274968,0.9999631127324649
7a613643598c07a5fd54,4,32,128,220, ,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.14956454932689667,-0.12288539856672287,0.026679150760173798,0.026679150760173798,1,1,0,32,32,1.0,0,0,0.0010055278765852048,0.0010055278765852048,0.9998270689025137,0.9998270689025137
7a613643598c07a5fd54,5,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.2780414819717407,-1.230406403541565,0.04763507843017578,0.04763507843017578,1,1,0,31,33,0.9393939393939394,1,1,0.00046092141708313017,0.000462862335343482,0.9988316337690362,0.998831633726787
7a613643598c07a5fd54,6,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.0004489606071729213,-0.00040880427695810795,4.015633021481335e-05,4.015633021481335e-05,1,1,0,32,32,1.0,0,0,8.188251451258528e-07,8.188251451258528e-07,0.9999999998918607,0.9999999998918607
7a613643598c07a5fd54,7,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.7510665655136108,-0.7888519763946533,-0.03778541088104248,0.03778541088104248,1,1,0,31,33,0.9393939393939394,1,1,0.0004124390869533436,0.00041522294890418947,0.9993987751520624,0.9993987750899973
7a613643598c07a5fd54,8,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.8254694938659668,-0.9330580234527588,-0.10758852958679199,0.10758852958679199,1,1,0,31,33,0.9393939393939394,1,1,0.0013117359056094733,0.00131201515895476,0.9970019006330385,0.9970019006323059
7a613643598c07a5fd54,9,32,128,15,0,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.621624231338501,-1.7934430837631226,-0.17181885242462158,0.17181885242462158,1,2,1,32,32,1.0,0,0,0.0011654147715034592,0.0011654147715034592,0.9945834880089741,0.9945834880089741
7a613643598c07a5fd54,10,32,128,17,2,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-1.8223000764846802,-1.838804006576538,-0.01650393009185791,0.01650393009185791,1,1,0,32,32,1.0,0,0,0.00022916318679782406,0.00022916318679782406,0.9989790745738556,0.9989790745738556
7a613643598c07a5fd54,11,32,128,6486, seconds,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.9153623580932617,-0.9387845993041992,-0.0234222412109375,0.0234222412109375,1,1,0,31,33,0.9393939393939394,1,1,0.0003520954575508782,0.0003681118549692414,0.9997622019595932,0.9997621996267515
7a613643598c07a5fd54,12,32,128,311, to,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.1255960911512375,-0.11561797559261322,0.009978115558624268,0.009978115558624268,1,1,0,31,33,0.9393939393939394,1,1,0.0002686863407963925,0.00027246039607568167,0.9999219206464778,0.9999219206091041
7a613643598c07a5fd54,13,32,128,1882, process,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.12347834557294846,-0.11719200760126114,0.006286337971687317,0.006286337971687317,1,1,0,31,33,0.9393939393939394,1,1,0.00010171383492114243,0.00012562034629440868,0.9999825798324715,0.9999825783310893
7a613643598c07a5fd54,14,32,128,13,.,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.05506114661693573,-0.0579548105597496,-0.0028936639428138733,0.0028936639428138733,1,1,0,31,33,0.9393939393939394,1,1,6.675969822554077e-05,7.770320048666134e-05,0.9999974247662986,0.9999974244875545
7a613643598c07a5fd54,15,32,128,2585, How,vllm_decode_generate,vllm_prompt_logprobs_full_prefill,-0.737847089767456,-0.7777125239372253,-0.03986543416976929,0.03986543416976929,1,1,0,32,32,1.0,0,0,0.0006268715454604174,0.0006268715454604174,0.9983989056408049,0.9983989056408049
