common_len,common_topk,compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_id,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum
64,8,512,457,0.892578125,55,0.107421875,0,0003c1ab20d811680fab,64,40,0.625,64,59,0.921875,0.9826388888888888,62.888888888888886,0.990234375,63.375
64,8,512,458,0.89453125,54,0.10546875,1,0003c1ab20d811680fab,64,39,0.609375,64,60,0.9375,0.9861111111111112,63.111111111111114,0.9921875,63.5
64,8,512,454,0.88671875,58,0.11328125,2,0003c1ab20d811680fab,64,35,0.546875,64,53,0.828125,0.9618055555555556,61.55555555555556,0.978515625,62.625
64,8,512,399,0.779296875,113,0.220703125,3,0003c1ab20d811680fab,64,21,0.328125,64,48,0.75,0.9444444444444444,60.44444444444444,0.96875,62.0
64,8,512,414,0.80859375,98,0.19140625,4,0003c1ab20d811680fab,64,25,0.390625,64,56,0.875,0.9722222222222223,62.22222222222222,0.984375,63.0
64,8,512,416,0.8125,96,0.1875,5,0003c1ab20d811680fab,64,24,0.375,64,53,0.828125,0.9618055555555555,61.55555555555556,0.978515625,62.625
64,8,512,436,0.8515625,76,0.1484375,6,0003c1ab20d811680fab,64,26,0.40625,64,50,0.78125,0.9513888888888888,60.888888888888886,0.97265625,62.25
64,8,512,405,0.791015625,107,0.208984375,7,0003c1ab20d811680fab,64,26,0.40625,64,54,0.84375,0.9652777777777777,61.77777777777778,0.98046875,62.75
64,8,512,419,0.818359375,93,0.181640625,8,0003c1ab20d811680fab,64,25,0.390625,64,50,0.78125,0.9486111111111111,60.71111111111111,0.970703125,62.125
64,8,512,391,0.763671875,121,0.236328125,9,0003c1ab20d811680fab,64,19,0.296875,64,44,0.6875,0.9277777777777777,59.37777777777778,0.958984375,61.375
64,8,512,394,0.76953125,118,0.23046875,10,0003c1ab20d811680fab,64,22,0.34375,64,54,0.84375,0.9652777777777777,61.77777777777778,0.98046875,62.75
64,8,512,420,0.8203125,92,0.1796875,11,0003c1ab20d811680fab,64,28,0.4375,64,51,0.796875,0.9520833333333333,60.93333333333333,0.97265625,62.25
64,8,512,382,0.74609375,130,0.25390625,12,0003c1ab20d811680fab,64,14,0.21875,64,42,0.65625,0.9208333333333334,58.93333333333334,0.955078125,61.125
64,8,512,364,0.7109375,148,0.2890625,13,0003c1ab20d811680fab,64,16,0.25,64,44,0.6875,0.925,59.2,0.95703125,61.25
64,8,512,358,0.69921875,154,0.30078125,14,0003c1ab20d811680fab,64,13,0.203125,64,46,0.71875,0.9319444444444445,59.644444444444446,0.9609375,61.5
64,8,512,349,0.681640625,163,0.318359375,15,0003c1ab20d811680fab,64,10,0.15625,64,39,0.609375,0.9104166666666667,58.266666666666666,0.94921875,60.75
64,8,512,374,0.73046875,138,0.26953125,16,0003c1ab20d811680fab,64,15,0.234375,64,43,0.671875,0.9159722222222222,58.62222222222222,0.951171875,60.875
64,8,512,364,0.7109375,148,0.2890625,17,0003c1ab20d811680fab,64,12,0.1875,64,39,0.609375,0.9076388888888889,58.08888888888889,0.947265625,60.625
64,8,512,342,0.66796875,170,0.33203125,18,0003c1ab20d811680fab,64,11,0.171875,64,46,0.71875,0.9296717171717171,59.4989898989899,0.958984375,61.375
64,8,512,373,0.728515625,139,0.271484375,19,0003c1ab20d811680fab,64,18,0.28125,64,45,0.703125,0.9284722222222223,59.422222222222224,0.958984375,61.375
64,8,512,330,0.64453125,182,0.35546875,20,0003c1ab20d811680fab,64,9,0.140625,64,34,0.53125,0.8880050505050505,56.83232323232323,0.935546875,59.875
64,8,512,352,0.6875,160,0.3125,21,0003c1ab20d811680fab,64,8,0.125,64,44,0.6875,0.9222222222222223,59.022222222222226,0.955078125,61.125
64,8,512,354,0.69140625,158,0.30859375,22,0003c1ab20d811680fab,64,17,0.265625,64,41,0.640625,0.9173611111111111,58.71111111111111,0.953125,61.0
64,8,512,371,0.724609375,141,0.275390625,23,0003c1ab20d811680fab,64,18,0.28125,64,45,0.703125,0.93125,59.6,0.9609375,61.5
64,8,512,335,0.654296875,177,0.345703125,24,0003c1ab20d811680fab,64,7,0.109375,64,37,0.578125,0.90625,58.0,0.947265625,60.625
64,8,512,366,0.71484375,146,0.28515625,25,0003c1ab20d811680fab,64,14,0.21875,64,46,0.71875,0.9319444444444445,59.644444444444446,0.9609375,61.5
64,8,512,348,0.6796875,164,0.3203125,26,0003c1ab20d811680fab,64,12,0.1875,64,37,0.578125,0.9006944444444445,57.644444444444446,0.943359375,60.375
64,8,512,331,0.646484375,181,0.353515625,27,0003c1ab20d811680fab,64,10,0.15625,64,45,0.703125,0.9215277777777778,58.97777777777778,0.953125,61.0
64,8,512,375,0.732421875,137,0.267578125,28,0003c1ab20d811680fab,64,15,0.234375,64,46,0.71875,0.9375,60.0,0.96484375,61.75
