common_len,common_topk,compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_id,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum
64,8,512,460,0.8984375,52,0.1015625,0,0003c1ab20d811680fab,64,42,0.65625,64,60,0.9375,0.9861111111111112,63.111111111111114,0.9921875,63.5
64,8,512,466,0.91015625,46,0.08984375,1,0003c1ab20d811680fab,64,40,0.625,64,56,0.875,0.9722222222222222,62.22222222222222,0.984375,63.0
64,8,512,443,0.865234375,69,0.134765625,2,0003c1ab20d811680fab,64,29,0.453125,64,49,0.765625,0.9479166666666666,60.666666666666664,0.970703125,62.125
64,8,512,406,0.79296875,106,0.20703125,3,0003c1ab20d811680fab,64,26,0.40625,64,55,0.859375,0.96875,62.0,0.982421875,62.875
64,8,512,425,0.830078125,87,0.169921875,4,0003c1ab20d811680fab,64,30,0.46875,64,57,0.890625,0.9756944444444444,62.44444444444444,0.986328125,63.125
64,8,512,414,0.80859375,98,0.19140625,5,0003c1ab20d811680fab,64,25,0.390625,64,53,0.828125,0.9618055555555555,61.55555555555556,0.978515625,62.625
64,8,512,425,0.830078125,87,0.169921875,6,0003c1ab20d811680fab,64,26,0.40625,64,52,0.8125,0.9583333333333333,61.333333333333336,0.9765625,62.5
64,8,512,392,0.765625,120,0.234375,7,0003c1ab20d811680fab,64,21,0.328125,64,47,0.734375,0.9381944444444444,60.044444444444444,0.96484375,61.75
64,8,512,398,0.77734375,114,0.22265625,8,0003c1ab20d811680fab,64,19,0.296875,64,48,0.75,0.9416666666666667,60.266666666666666,0.966796875,61.875
64,8,512,386,0.75390625,126,0.24609375,9,0003c1ab20d811680fab,64,20,0.3125,64,44,0.6875,0.9277777777777778,59.37777777777778,0.958984375,61.375
64,8,512,402,0.78515625,110,0.21484375,10,0003c1ab20d811680fab,64,22,0.34375,64,49,0.765625,0.9451388888888889,60.48888888888889,0.96875,62.0
64,8,512,431,0.841796875,81,0.158203125,11,0003c1ab20d811680fab,64,28,0.4375,64,50,0.78125,0.9513888888888888,60.888888888888886,0.97265625,62.25
64,8,512,358,0.69921875,154,0.30078125,12,0003c1ab20d811680fab,64,13,0.203125,64,40,0.625,0.9138888888888889,58.48888888888889,0.951171875,60.875
64,8,512,360,0.703125,152,0.296875,13,0003c1ab20d811680fab,64,13,0.203125,64,46,0.71875,0.9347222222222222,59.82222222222222,0.962890625,61.625
64,8,512,338,0.66015625,174,0.33984375,14,0003c1ab20d811680fab,64,12,0.1875,64,43,0.671875,0.9215277777777777,58.97777777777778,0.955078125,61.125
64,8,512,354,0.69140625,158,0.30859375,15,0003c1ab20d811680fab,64,12,0.1875,64,43,0.671875,0.91875,58.8,0.953125,61.0
64,8,512,361,0.705078125,151,0.294921875,16,0003c1ab20d811680fab,64,11,0.171875,64,40,0.625,0.9055555555555554,57.955555555555556,0.9453125,60.5
64,8,512,370,0.72265625,142,0.27734375,17,0003c1ab20d811680fab,64,17,0.265625,64,47,0.734375,0.9381944444444444,60.044444444444444,0.96484375,61.75
64,8,512,335,0.654296875,177,0.345703125,18,0003c1ab20d811680fab,64,13,0.203125,64,48,0.75,0.9388888888888889,60.08888888888889,0.96484375,61.75
