compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_layer_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_overlap_mean
989560,940884,0.9508104612150855,48676,0.049189538784914506,0,1000,123695,99071,0.8009297061320183,123695,117559,0.9503941145559642,0.9889534742713918,0.9937830955171996
989560,886970,0.8963276607785279,102590,0.10367233922147218,1,1000,123695,77103,0.6233315817130846,123695,109789,0.887578317636121,0.9747848344800508,0.9857835805812685
989560,848253,0.8572021908727111,141307,0.1427978091272889,2,1000,123695,63725,0.5151784631553418,123695,104056,0.8412304458547233,0.9637582867074759,0.9794696632846922
989560,817671,0.8262975463842516,171889,0.1737024536157484,3,1000,123695,54861,0.44351833137960306,123695,99366,0.8033146044706738,0.9550599082706278,0.9745401996847084
989560,829444,0.838194753223655,160116,0.16180524677634503,4,1000,123695,57976,0.4687012409555762,123695,100635,0.8135737095274668,0.9574313200441991,0.9758882735761348
989560,804858,0.8133493673956101,184702,0.18665063260438983,5,1000,123695,50584,0.4089413476696714,123695,97139,0.7853106431141114,0.9511967404347851,0.9723917700796314
989560,797560,0.8059743724483609,192000,0.1940256275516391,6,1000,123695,49672,0.4015683738227091,123695,96718,0.7819071102308096,0.9500686153339852,0.9717015643316221
989560,759362,0.7673733780670197,230198,0.2326266219329803,7,1000,123695,39712,0.32104773838877887,123695,89355,0.7223816645781964,0.9356474482486041,0.9634170742552245
989560,756504,0.764485225756902,233056,0.23551477424309794,8,1000,123695,38099,0.3080075993370791,123695,88505,0.7155099236024092,0.9340553928467747,0.9625096002263632
989560,758875,0.7668812401471361,230685,0.2331187598528639,9,1000,123695,39231,0.31715914143659807,123695,89561,0.7240470512146813,0.9358770980065294,0.9635171187194309
989560,771485,0.7796242774566474,218075,0.2203757225433526,10,1000,123695,43374,0.35065281539269977,123695,93855,0.7587614697441287,0.9442971849552545,0.9683566433566434
989560,774332,0.7825013137151865,215228,0.21749868628481345,11,1000,123695,43553,0.3520999231981891,123695,93637,0.756999070293868,0.9439174957473979,0.9681413961760783
989560,718163,0.7257397227050406,271397,0.2742602772949594,12,1000,123695,31952,0.25831278548041553,123695,84635,0.6842232911597074,0.9255245094899084,0.9574487651077247
989560,718091,0.7256669630947088,271469,0.27433303690529126,13,1000,123695,31596,0.2554347386717329,123695,84841,0.6858886777961922,0.9255983315856409,0.9573891426492582
989560,691547,0.6988429200856947,298013,0.30115707991430535,14,1000,123695,27231,0.22014632766077852,123695,79979,0.6465823194146894,0.9149660629914488,0.9510560248999556
989560,679373,0.6865404826387486,310187,0.31345951736125144,15,1000,123695,25411,0.2054327175714459,123695,78058,0.6310521848094103,0.9102741502628326,0.9482032418448604
989560,666347,0.673377056469542,323213,0.32662294353045795,16,1000,123695,23742,0.191939852055459,123695,76692,0.6200088928412628,0.9070876883512814,0.9462296374146085
