common_len,common_topk,compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_id,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum
108,8,864,828,0.9583333333333334,36,0.041666666666666664,0,0003c1ab20d811680fab,108,88,0.8148148148148148,108,104,0.9629629629629629,0.9917695473251029,107.11111111111111,0.9953703703703703,107.5
108,8,864,779,0.9016203703703703,85,0.09837962962962964,1,0003c1ab20d811680fab,108,67,0.6203703703703703,108,98,0.9074074074074074,0.9794238683127573,105.77777777777777,0.9884259259259259,106.75
108,8,864,739,0.8553240740740741,125,0.14467592592592593,2,0003c1ab20d811680fab,108,48,0.4444444444444444,108,88,0.8148148148148148,0.9588477366255146,103.55555555555556,0.9768518518518519,105.5
108,8,864,706,0.8171296296296297,158,0.18287037037037038,3,0003c1ab20d811680fab,108,46,0.42592592592592593,108,90,0.8333333333333334,0.9629629629629631,104.0,0.9791666666666666,105.75
108,8,864,743,0.8599537037037037,121,0.1400462962962963,4,0003c1ab20d811680fab,108,51,0.4722222222222222,108,86,0.7962962962962963,0.9514403292181067,102.75555555555556,0.9722222222222222,105.0
108,8,864,747,0.8645833333333334,117,0.13541666666666666,5,0003c1ab20d811680fab,108,62,0.5740740740740741,108,93,0.8611111111111112,0.9691358024691359,104.66666666666667,0.9826388888888888,106.125
108,8,864,738,0.8541666666666666,126,0.14583333333333334,6,0003c1ab20d811680fab,108,54,0.5,108,91,0.8425925925925926,0.9650205761316873,104.22222222222223,0.9803240740740741,105.875
108,8,864,709,0.8206018518518519,155,0.17939814814814814,7,0003c1ab20d811680fab,108,53,0.49074074074074076,108,89,0.8240740740740741,0.9609053497942386,103.77777777777777,0.9780092592592593,105.625
108,8,864,702,0.8125,162,0.1875,8,0003c1ab20d811680fab,108,44,0.4074074074074074,108,79,0.7314814814814815,0.9337448559670781,100.84444444444445,0.9618055555555556,103.875
108,8,864,669,0.7743055555555556,195,0.22569444444444445,9,0003c1ab20d811680fab,108,38,0.35185185185185186,108,79,0.7314814814814815,0.940329218106996,101.55555555555556,0.9664351851851852,104.375
108,8,864,721,0.8344907407407407,143,0.16550925925925927,10,0003c1ab20d811680fab,108,55,0.5092592592592593,108,82,0.7592592592592593,0.9448559670781894,102.04444444444445,0.96875,104.625
108,8,864,727,0.8414351851851852,137,0.15856481481481483,11,0003c1ab20d811680fab,108,51,0.4722222222222222,108,92,0.8518518518518519,0.9654320987654322,104.26666666666667,0.9803240740740741,105.875
108,8,864,643,0.7442129629629629,221,0.25578703703703703,12,0003c1ab20d811680fab,108,38,0.35185185185185186,108,86,0.7962962962962963,0.9500935278713056,102.610101010101,0.9710648148148148,104.875
108,8,864,668,0.7731481481481481,196,0.22685185185185186,13,0003c1ab20d811680fab,108,35,0.32407407407407407,108,73,0.6759259259259259,0.9230452674897117,99.68888888888888,0.9560185185185185,103.25
108,8,864,621,0.71875,243,0.28125,14,0003c1ab20d811680fab,108,28,0.25925925925925924,108,69,0.6388888888888888,0.9148148148148146,98.8,0.9513888888888888,102.75
108,8,864,588,0.6805555555555556,276,0.3194444444444444,15,0003c1ab20d811680fab,108,27,0.25,108,72,0.6666666666666666,0.9179947624392069,99.14343434343435,0.9525462962962963,102.875
108,8,864,629,0.7280092592592593,235,0.27199074074074076,16,0003c1ab20d811680fab,108,31,0.28703703703703703,108,77,0.7129629629629629,0.9312757201646091,100.57777777777778,0.9606481481481481,103.75
108,8,864,612,0.7083333333333334,252,0.2916666666666667,17,0003c1ab20d811680fab,108,31,0.28703703703703703,108,81,0.75,0.934867190422746,100.96565656565656,0.9618055555555556,103.875
108,8,864,582,0.6736111111111112,282,0.3263888888888889,18,0003c1ab20d811680fab,108,21,0.19444444444444445,108,78,0.7222222222222222,0.9333333333333333,100.8,0.9618055555555556,103.875
108,8,864,604,0.6990740740740741,260,0.30092592592592593,19,0003c1ab20d811680fab,108,22,0.2037037037037037,108,71,0.6574074074074074,0.9205761316872427,99.42222222222222,0.9548611111111112,103.125
108,8,864,646,0.7476851851851852,218,0.2523148148148148,20,0003c1ab20d811680fab,108,30,0.2777777777777778,108,72,0.6666666666666666,0.922633744855967,99.64444444444445,0.9560185185185185,103.25
108,8,864,582,0.6736111111111112,282,0.3263888888888889,21,0003c1ab20d811680fab,108,19,0.17592592592592593,108,63,0.5833333333333334,0.8975308641975306,96.93333333333334,0.9409722222222222,101.625
108,8,864,643,0.7442129629629629,221,0.25578703703703703,22,0003c1ab20d811680fab,108,30,0.2777777777777778,108,75,0.6944444444444444,0.9258136924803589,99.98787878787878,0.9571759259259259,103.375
108,8,864,655,0.7581018518518519,209,0.24189814814814814,23,0003c1ab20d811680fab,108,34,0.3148148148148148,108,74,0.6851851851851852,0.922633744855967,99.64444444444445,0.9548611111111112,103.125
108,8,864,631,0.7303240740740741,233,0.26967592592592593,24,0003c1ab20d811680fab,108,31,0.28703703703703703,108,73,0.6759259259259259,0.9167601945379723,99.01010101010101,0.9513888888888888,102.75
108,8,864,612,0.7083333333333334,252,0.2916666666666667,25,0003c1ab20d811680fab,108,28,0.25925925925925924,108,74,0.6851851851851852,0.9221099887766554,99.5878787878788,0.9548611111111112,103.125
108,8,864,603,0.6979166666666666,261,0.3020833333333333,26,0003c1ab20d811680fab,108,23,0.21296296296296297,108,76,0.7037037037037037,0.9176954732510288,99.11111111111111,0.9502314814814815,102.625
108,8,864,600,0.6944444444444444,264,0.3055555555555556,27,0003c1ab20d811680fab,108,26,0.24074074074074073,108,72,0.6666666666666666,0.9108866442199776,98.37575757575758,0.9467592592592593,102.25
108,8,864,643,0.7442129629629629,221,0.25578703703703703,28,0003c1ab20d811680fab,108,33,0.3055555555555556,108,74,0.6851851851851852,0.9254021698466143,99.94343434343435,0.9571759259259259,103.375
108,8,864,670,0.7754629629629629,194,0.22453703703703703,29,0003c1ab20d811680fab,108,41,0.37962962962962965,108,73,0.6759259259259259,0.9213991769547323,99.5111111111111,0.9548611111111112,103.125
108,8,864,636,0.7361111111111112,228,0.2638888888888889,30,0003c1ab20d811680fab,108,36,0.3333333333333333,108,76,0.7037037037037037,0.9308641975308641,100.53333333333333,0.9606481481481481,103.75
108,8,864,663,0.7673611111111112,201,0.2326388888888889,31,0003c1ab20d811680fab,108,36,0.3333333333333333,108,82,0.7592592592592593,0.9432098765432099,101.86666666666666,0.9675925925925926,104.5
108,8,864,714,0.8263888888888888,150,0.1736111111111111,32,0003c1ab20d811680fab,108,47,0.4351851851851852,108,81,0.75,0.9444444444444444,102.0,0.96875,104.625
108,8,864,720,0.8333333333333334,144,0.16666666666666666,33,0003c1ab20d811680fab,108,50,0.46296296296296297,108,85,0.7870370370370371,0.9493827160493827,102.53333333333333,0.9710648148148148,104.875
108,8,864,712,0.8240740740740741,152,0.17592592592592593,34,0003c1ab20d811680fab,108,45,0.4166666666666667,108,94,0.8703703703703703,0.9711934156378601,104.88888888888889,0.9837962962962963,106.25
108,8,864,657,0.7604166666666666,207,0.23958333333333334,35,0003c1ab20d811680fab,108,32,0.2962962962962963,108,81,0.75,0.9378600823045268,101.28888888888889,0.9641203703703703,104.125
108,8,864,678,0.7847222222222222,186,0.2152777777777778,36,0003c1ab20d811680fab,108,42,0.3888888888888889,108,85,0.7870370370370371,0.9526748971193416,102.88888888888889,0.9733796296296297,105.125
108,8,864,646,0.7476851851851852,218,0.2523148148148148,37,0003c1ab20d811680fab,108,28,0.25925925925925924,108,76,0.7037037037037037,0.934156378600823,100.88888888888889,0.9629629629629629,104.0
108,8,864,674,0.7800925925925926,190,0.2199074074074074,38,0003c1ab20d811680fab,108,40,0.37037037037037035,108,86,0.7962962962962963,0.9514403292181071,102.75555555555556,0.9722222222222222,105.0
108,8,864,681,0.7881944444444444,183,0.21180555555555555,39,0003c1ab20d811680fab,108,43,0.39814814814814814,108,79,0.7314814814814815,0.9386831275720163,101.37777777777778,0.9652777777777778,104.25
127,8,1016,964,0.9488188976377953,52,0.051181102362204724,0,00948d836971f053bbf9,127,102,0.8031496062992126,127,116,0.9133858267716536,0.9807524059492565,124.55555555555556,0.9891732283464567,125.625
127,8,1016,940,0.9251968503937008,76,0.07480314960629922,1,00948d836971f053bbf9,127,88,0.6929133858267716,127,119,0.937007874015748,0.9860017497812774,125.22222222222223,0.9921259842519685,126.0
127,8,1016,909,0.8946850393700787,107,0.10531496062992125,2,00948d836971f053bbf9,127,75,0.5905511811023622,127,111,0.8740157480314961,0.9720034995625546,123.44444444444444,0.984251968503937,125.0
127,8,1016,873,0.859251968503937,143,0.140748031496063,3,00948d836971f053bbf9,127,62,0.4881889763779528,127,106,0.8346456692913385,0.9618547681539807,122.15555555555555,0.9783464566929134,124.25
127,8,1016,868,0.8543307086614174,148,0.14566929133858267,4,00948d836971f053bbf9,127,62,0.4881889763779528,127,107,0.84251968503937,0.9650043744531932,122.55555555555556,0.9803149606299213,124.5
127,8,1016,856,0.84251968503937,160,0.15748031496062992,5,00948d836971f053bbf9,127,60,0.47244094488188976,127,105,0.8267716535433071,0.9615048118985127,122.11111111111111,0.9783464566929134,124.25
127,8,1016,839,0.8257874015748031,177,0.17421259842519685,6,00948d836971f053bbf9,127,50,0.3937007874015748,127,101,0.7952755905511811,0.9531058617672792,121.04444444444445,0.9734251968503937,123.625
127,8,1016,808,0.7952755905511811,208,0.2047244094488189,7,00948d836971f053bbf9,127,44,0.3464566929133858,127,90,0.7086614173228346,0.9338582677165354,118.6,0.9625984251968503,122.25
127,8,1016,827,0.8139763779527559,189,0.1860236220472441,8,00948d836971f053bbf9,127,51,0.4015748031496063,127,101,0.7952755905511811,0.9545056867891513,121.22222222222223,0.9744094488188977,123.75
127,8,1016,777,0.764763779527559,239,0.23523622047244094,9,00948d836971f053bbf9,127,35,0.2755905511811024,127,96,0.7559055118110236,0.9457567804024497,120.11111111111111,0.969488188976378,123.125
127,8,1016,824,0.8110236220472441,192,0.1889763779527559,10,00948d836971f053bbf9,127,51,0.4015748031496063,127,96,0.7559055118110236,0.9443569553805775,119.93333333333334,0.968503937007874,123.0
127,8,1016,818,0.8051181102362205,198,0.19488188976377951,11,00948d836971f053bbf9,127,46,0.36220472440944884,127,96,0.7559055118110236,0.9443569553805774,119.93333333333334,0.968503937007874,123.0
127,8,1016,791,0.7785433070866141,225,0.22145669291338582,12,00948d836971f053bbf9,127,43,0.33858267716535434,127,87,0.6850393700787402,0.9286089238845144,117.93333333333334,0.9596456692913385,121.875
127,8,1016,768,0.7559055118110236,248,0.2440944881889764,13,00948d836971f053bbf9,127,37,0.29133858267716534,127,88,0.6929133858267716,0.9264137437365784,117.65454545454546,0.9576771653543307,121.625
127,8,1016,693,0.6820866141732284,323,0.31791338582677164,14,00948d836971f053bbf9,127,29,0.2283464566929134,127,83,0.6535433070866141,0.9216097987751531,117.04444444444445,0.9557086614173228,121.375
