compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_layer_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_overlap_mean
994832,878516,0.883079756179938,116316,0.11692024382006208,0,1000,124354,72639,0.5841307879119289,124354,110050,0.8849735432716278,0.974269871138489,0.9855030799170111
994832,845892,0.8502862794924169,148940,0.1497137205075832,1,1000,124354,62113,0.4994853402383518,124354,103938,0.8358235360342249,0.9626911961826786,0.978895934187883
994832,820242,0.8245030316676585,174590,0.17549696833234155,2,1000,124354,54479,0.4380960805442527,124354,99573,0.8007221319780626,0.9537836058896897,0.9737091287775222
994832,780354,0.7844078196117535,214478,0.21559218038824646,3,1000,124354,44306,0.3562893031185165,124354,93499,0.7518777039741383,0.9426449060461635,0.9674156038406485
994832,801957,0.8061230438908278,192875,0.1938769561091722,4,1000,124354,49636,0.39915081139328046,124354,96276,0.7742091126944047,0.9477779548545264,0.9703246377277771
994832,782689,0.7867549495794265,212143,0.2132450504205735,5,1000,124354,44317,0.3563777602650498,124354,93509,0.7519581195618958,0.943359776252968,0.9679232272383679
994832,777326,0.781364089615131,217506,0.21863591038486901,6,1000,124354,44039,0.3541422069253904,124354,93347,0.7506553870402238,0.9423749696004716,0.9672658298084501
994832,737769,0.7416015970535729,257063,0.25839840294642713,7,1000,124354,34218,0.2751660581887193,124354,85637,0.6886549688791676,0.927186983136933,0.9585125930810429
994832,737689,0.7415211814658154,257143,0.25847881853418464,8,1000,124354,33620,0.270357206040819,124354,85446,0.6871190311529987,0.9268379307493447,0.958312559306496
994832,742819,0.746677831030767,252013,0.253322168969233,9,1000,124354,34936,0.28093989738971004,124354,86816,0.6981359666757805,0.92939849302813,0.9597640606655194
994832,759232,0.7631760940540715,235600,0.23682390594592856,10,1000,124354,39819,0.32020682889171237,124354,91410,0.7350788876915901,0.9383563049934852,0.9649126686716953
994832,759314,0.763258520031523,235518,0.23674147996847708,11,1000,124354,39167,0.31496373256992133,124354,91010,0.7318622641812889,0.9376684752756276,0.9645246634607653
994832,701446,0.705089904627113,293386,0.2949100953728871,12,1000,124354,28393,0.22832397831995754,124354,82021,0.6595766923460443,0.9189153649066477,0.9535640188494138
994832,704355,0.7080140164369462,290477,0.2919859835630539,13,1000,124354,28344,0.22792994193994565,124354,82000,0.6594078196117535,0.9183810729945158,0.9531217331167473
994832,676467,0.6799811425446709,318365,0.32001885745532915,14,1000,124354,24165,0.19432426781607348,124354,77264,0.6213229972497869,0.9078997559866687,0.9468272029850267
994832,665769,0.6692275680717951,329063,0.330772431928205,15,1000,124354,22900,0.18415169596474582,124354,75389,0.6062450745452499,0.9035589350561128,0.9442036444344372
994832,652151,0.6555388246457693,342681,0.34446117535423065,16,1000,124354,21212,0.1705775447512746,124354,74111,0.5959679624298374,0.90022793182,0.9420706209691687
994832,653779,0.6571752818566351,341053,0.3428247181433649,17,1000,124354,22160,0.17820094247068852,124354,75069,0.6036717757370088,0.9004451974392621,0.9417439326439037
994832,647790,0.6511551699181369,347042,0.34884483008186307,18,1000,124354,22590,0.18165881274426235,124354,73938,0.5945767727616321,0.8966041333669229,0.939158571497499
994832,637543,0.6408549383212442,357289,0.3591450616787558,19,1000,124354,20626,0.16586519130868327,124354,71048,0.5713366678997057,0.8904628167989223,0.9355097142030011
994832,647222,0.6505842192450585,347610,0.34941578075494156,20,1000,124354,20131,0.16188461971468548,124354,69562,0.5593869115589366,0.8867000033685469,0.9331736413786449
994832,660558,0.6639894977242389,334274,0.3360105022757611,21,1000,124354,22683,0.1824066777104074,124354,72261,0.5810910786946942,0.8922170830690058,0.9363570934589961
994832,674375,0.6778782749248115,320457,0.32212172507518855,22,1000,124354,26369,0.2120478633578333,124354,76005,0.6111986747511138,0.8978998010279682,0.9390429740900976
994832,683132,0.6866807661997202,311700,0.3133192338002799,23,1000,124354,27234,0.2190038116988597,124354,76946,0.6187657815590974,0.8991492364652864,0.9395656754105216
994832,635278,0.638578171992859,359554,0.3614218280071409,24,1000,124354,20772,0.16703925888994323,124354,69656,0.5601428180838574,0.8814557346876372,0.9285909580713125
994832,648662,0.652031699824694,346170,0.347968300175306,25,1000,124354,21702,0.1745179085513936,124354,70702,0.5685542885632952,0.8845844974960231,0.930728002315969
994832,627498,0.6307577560834392,367334,0.3692422439165608,26,1000,124354,20053,0.16125737813017677,124354,68695,0.5524148801003587,0.8793107952282564,0.9272269086639754
994832,634843,0.6381409122344275,359989,0.36185908776557246,27,1000,124354,21210,0.17056146163372307,124354,69958,0.5625713688341348,0.8806488645496642,0.9276903034884282
994832,674228,0.677730511282307,320604,0.32226948871769306,28,1000,124354,25218,0.20279202920694148,124354,73236,0.5889315985010535,0.8901150724477677,0.9340019219325474
994832,678095,0.6816175997555366,316737,0.3183824002444634,29,1000,124354,26490,0.2130208919696994,124354,74090,0.5957990896955466,0.8918632759056075,0.9349638934010969
994832,661697,0.6651344146549367,333135,0.3348655853450633,30,1000,124354,25614,0.2059764864821397,124354,73798,0.5934509545330267,0.88950513454108,0.9330178361773647
994832,663850,0.6672985991604613,330982,0.33270140083953875,31,1000,124354,24589,0.19773388873699277,124354,72655,0.5842594528523409,0.8870682876585356,0.9315361789729321
994832,720167,0.7239081573572221,274665,0.27609184264277786,32,1000,124354,34310,0.2759058815960886,124354,81153,0.6525966193286906,0.9081318297137658,0.9447926886147611
994832,733243,0.7370520851761906,261589,0.26294791482380947,33,1000,124354,36730,0.2953664538334111,124354,81465,0.6551055856667256,0.9086475961381477,0.9449766392717565
994832,726666,0.7304409186676746,268166,0.2695590813323255,34,1000,124354,36620,0.2944818823680782,124354,81732,0.6572526818598518,0.9074783170735057,0.9438608729916207
994832,647987,0.6513531933029898,346845,0.34864680669701015,35,1000,124354,23461,0.18866301043794328,124354,68969,0.554618267204915,0.8776336031349941,0.9254979735271885
994832,648239,0.6516065024044261,346593,0.3483934975955739,36,1000,124354,24436,0.19650353024430256,124354,69466,0.5586149219164643,0.8782592655069621,0.9259493060134777
994832,663678,0.6671257056467825,331154,0.3328742943532174,37,1000,124354,24063,0.19350402882094664,124354,69970,0.5626678675394439,0.8839363373258554,0.9305360101001978
994832,659675,0.6631019106743651,335157,0.33689808932563486,38,1000,124354,23840,0.19171076121395372,124354,67155,0.5400308795856988,0.8768726469146239,0.9267132540971742
994832,674099,0.677600841147048,320733,0.32239915885295206,39,1000,124354,26969,0.21687279862328515,124354,71564,0.5754861122279943,0.8875449700899627,0.9332751660581887
